 Created on  1Dec2019 at 17:05:41 
   -0.684173    0.350310    0.639680
    0.800960   -0.541351    0.255738
   -0.847452   -0.441741   -0.294430
    0.574256    0.270116   -0.772831
   -0.174543    0.792540    0.584307
    0.684534   -0.575234    0.447793
   -0.623610   -0.465191   -0.628257
    0.574593    0.619589   -0.534745
   -0.715164    0.283409    0.638921
    0.814310   -0.319239    0.484753
   -0.297885   -0.672180   -0.677819
    0.792841    0.243660   -0.558599
   -0.833389    0.334134    0.440247
    0.405902   -0.133949    0.904047
    0.018080   -0.945778   -0.324311
    0.418522    0.435250   -0.797118
   -0.826697    0.556431   -0.083409
    0.466576   -0.114410    0.877050
   -0.611650   -0.602272   -0.512985
    0.382775    0.722792   -0.575374
   -0.677829    0.119227    0.725488
    0.812445   -0.193798    0.549886
   -0.224367   -0.755896   -0.615045
    0.385773    0.590601   -0.708780
   -0.533298    0.427127    0.730175
    0.586310   -0.410672    0.698276
    0.016741   -0.815850   -0.578021
    0.256928    0.501539   -0.826103
   -0.789501    0.357673    0.498757
    0.554370    0.064152    0.829794
   -0.350948   -0.928787   -0.119121
    0.669537    0.276624   -0.689347
   -0.856344    0.500048   -0.128947
    0.448813    0.354142    0.820457
   -0.106167   -0.673185   -0.731813
    0.701497   -0.100244   -0.705587
   -0.598741    0.604363    0.525600
    0.562808    0.020999    0.826321
   -0.327682   -0.842337   -0.427893
    0.464617    0.722072   -0.512585
   -0.828674    0.444107    0.340687
    0.498735   -0.395787    0.771113
   -0.352889   -0.715306   -0.603164
    0.725732    0.338908   -0.598711
   -0.693582    0.661846    0.284435
    0.398534   -0.132855    0.907480
   -0.172723   -0.940624   -0.292220
    0.229391    0.695251   -0.681180
   -0.865045    0.382812    0.324272
    0.856047   -0.398412    0.329320
    0.072668   -0.970021   -0.231900
    0.224002    0.916122   -0.332481
   -0.879951    0.425991    0.210281
    0.779149   -0.362683    0.511262
   -0.419399   -0.763934   -0.490417
    0.079782    0.898419   -0.431832
   -0.414294    0.425722    0.804439
    0.808901   -0.454884    0.372505
   -0.423494   -0.900752   -0.096428
    0.359689    0.484969   -0.797138
   -0.830912    0.363868    0.420935
    0.881474   -0.030304    0.471259
   -0.177241   -0.967403   -0.180881
    0.448532    0.562715   -0.694385
   -0.876916    0.448485   -0.172860
    0.434681    0.251644    0.864712
   -0.407855   -0.896842   -0.171259
    0.702618    0.091026   -0.705721
   -0.439363    0.821495    0.363464
    0.411532   -0.186037    0.892206
   -0.088372   -0.485837   -0.869571
    0.306420    0.845054   -0.438167
   -0.644893    0.513857    0.565742
    0.436547   -0.677268    0.592228
   -0.623781   -0.137362   -0.769434
    0.815074    0.383805   -0.433990
   -0.805299    0.274087    0.525708
    0.550836   -0.725436    0.412701
   -0.739974   -0.633716   -0.225484
    0.272843    0.670160   -0.690248
   -0.604253    0.507357    0.614383
    0.732819   -0.550532    0.399863
   -0.524716   -0.616126   -0.587420
    0.870795    0.216702   -0.441311
   -0.804004    0.528568    0.272386
    0.538075    0.165439    0.826502
   -0.315127   -0.757664   -0.571525
    0.558929    0.492497   -0.667117
   -0.632965    0.567714    0.526361
    0.702433   -0.076547    0.707622
   -0.202710   -0.832237   -0.516033
    0.504623    0.808492   -0.302814
   -0.742036    0.579957    0.336203
    0.467827   -0.362427    0.806092
   -0.619374   -0.595002   -0.512199
    0.811913    0.449781   -0.372148
   -0.770405    0.524192    0.362902
    0.766890   -0.425470    0.480474
   -0.869777   -0.421771   -0.256120
    0.456868    0.486501   -0.744707
   -0.478071    0.540100    0.692633
    0.765024   -0.452746    0.457996
   -0.151668   -0.429217   -0.890376
    0.304337    0.528358   -0.792602
   -0.565480    0.314168    0.762582
    0.354848   -0.386239    0.851412
   -0.448073   -0.421481   -0.788406
    0.541038    0.840812    0.017704
   -0.840398    0.192292    0.506711
    0.878231   -0.426194    0.216955
   -0.451758   -0.804177   -0.386282
    0.434687    0.659580   -0.613189
   -0.252145    0.958906    0.130089
    0.545046   -0.455231    0.704053
   -0.307552   -0.608722   -0.731347
    0.726339    0.474423   -0.497347
   -0.644548    0.529893    0.551155
    0.339570   -0.485730    0.805455
   -0.351995   -0.722876   -0.594600
    0.359056    0.498848   -0.788815
   -0.788304   -0.331283    0.518487
    0.664816    0.188599    0.722807
   -0.371200   -0.833737   -0.408771
    0.321044    0.686999   -0.651892
