 Created on  1Dec2019 at 16:53:37 
   -0.439300    0.812353    0.383534
   -0.578401    0.744835   -0.332676
   -0.605324    0.770064   -0.201457
   -0.651034    0.513695   -0.558813
    0.007435    0.757555   -0.652729
   -0.277251    0.682464   -0.676295
   -0.988218    0.151389   -0.022525
   38.157895
   -0.094629    0.695658   -0.712113
    0.441726    0.820087    0.363779
    0.641804   -0.763648   -0.070214
    0.785736   -0.031456   -0.617761
    0.364510    0.931155   -0.009128
    0.561709   -0.821615   -0.097121
    0.697796   -0.149048   -0.700618
    0.460867    0.873560   -0.156510
    0.284982    0.232354   -0.929944
    0.637184   -0.712546   -0.293726
    0.853084   -0.432425    0.291986
    0.337478   -0.286521   -0.896668
   -0.080830    0.554514   -0.828240
    0.610291   -0.659215   -0.439296
   -0.102243   -0.046086   -0.993691
    0.449177   -0.180352   -0.875050
    0.976333   -0.049654   -0.210494
    0.746302    0.199270   -0.635079
    0.762171    0.420821   -0.491940
    0.819167   -0.016342   -0.573322
    0.874147    0.089303   -0.477381
    0.541485   -0.582634    0.606078
    0.669982   -0.190025   -0.717645
    0.828616    0.111081   -0.548687
    0.194870    0.028125   -0.980426
    0.948832    0.087444   -0.303433
    0.798189   -0.010891   -0.602309
    0.816286   -0.573714   -0.067301
    0.777244    0.592325   -0.212231
    0.578205    0.298399   -0.759366
    0.590613    0.650016   -0.478180
    0.355652    0.932363   -0.064896
    0.124486    0.742228   -0.658484
    0.437357    0.736590   -0.515901
   -0.302673    0.953003    0.013242
    0.263707    0.465719   -0.844727
    0.012717   -0.651948   -0.758157
    0.962335    0.110760    0.248283
    0.896979    0.384613    0.217949
    0.075444   -0.680132   -0.729197
    0.108903    0.063265   -0.992037
    0.424654    0.531578   -0.732867
    0.787277    0.229268   -0.572390
    0.906625   -0.217535   -0.361538
   -0.259693    0.029534   -0.965239
   -0.710474    0.275281   -0.647648
   -0.565402    0.766241   -0.305279
   -0.455920   -0.020459   -0.889786
    0.604790    0.647505   -0.463644
   -0.123698    0.095185   -0.987744
    0.026025   -0.173789   -0.984439
    0.829536    0.207156   -0.518610
    0.698005    0.183266   -0.692244
   -0.361993    0.315223   -0.877266
    0.843560    0.043493   -0.535272
    0.510379    0.600031   -0.616016
    0.117083    0.501082   -0.857443
    0.396269    0.498979   -0.770708
    0.119916   -0.102516   -0.987477
    0.586593    0.387395   -0.711220
    0.408316    0.747981   -0.523261
   -0.537239   -0.537586   -0.649905
    0.259992   -0.362827   -0.894853
   -0.593292   -0.799666   -0.092406
   40.789474
   -0.563193    0.537085   -0.627976
   -0.237007    0.381449   -0.893490
   -0.406132   -0.056774   -0.912049
   -0.946470    0.321471    0.029163
   -0.806315    0.302181   -0.508471
   -0.144636    0.415158   -0.898179
   -0.783746    0.450730   -0.427300
   -0.653796    0.615507   -0.440115
   -0.883500    0.276502   -0.378120
    0.124513   -0.796533   -0.591635
   -0.523300   -0.681470   -0.511622
   -0.665103   -0.463474   -0.585517
   -0.764362    0.129204   -0.631709
    0.552178   -0.123813   -0.824481
   -0.632451   -0.768377   -0.097997
   -0.178623   -0.524000   -0.832777
   -0.870260   -0.409125   -0.274343
   -0.090572   -0.087551   -0.992034
   -0.474439   -0.181129   -0.861452
   -0.580613   -0.035088   -0.813423
   -0.710275   -0.598324    0.370835
   -0.902272    0.152225    0.403401
   -0.810732   -0.229629   -0.538501
   -0.922227   -0.355387   -0.152308
   -0.997174   -0.053425   -0.052811
   -0.299671   -0.208922    0.930886
   -0.268490   -0.411854    0.870798
   -0.576163   -0.718403   -0.389787
   -0.580100   -0.679634   -0.448977
   -0.762699   -0.464801    0.449722
   -0.327937   -0.885540    0.329054
    0.097819   -0.883951   -0.457233
   -0.166908    0.821240   -0.545625
   -0.368801    0.461553   -0.806818
   -0.750309    0.224329   -0.621863
   -0.567668    0.652973   -0.501378
   -0.540168   -0.768041    0.343993
   -0.885449   -0.226358   -0.405885
   -0.688525   -0.663107   -0.293637
   -0.578474   -0.602967   -0.549363
   -0.881717   -0.348230   -0.318295
    0.349627   -0.812845   -0.465879
   -0.641285   -0.526274   -0.558381
   -0.946136    0.021217   -0.323075
   -0.784023   -0.173584   -0.595967
   -0.257072    0.821521   -0.508938
   -0.309431   -0.848758    0.428792
   -0.955514    0.060530    0.288668
   -0.547585    0.580076    0.603044
   -0.927262    0.265408   -0.264089
   -0.847599   -0.523041    0.089465
   -0.990422    0.058718    0.124962
   -0.125245    0.289065   -0.949081
   -0.602008    0.654225   -0.457794
   -0.587997   -0.808270   -0.030956
   -0.872116    0.361584   -0.329653
   -0.767367    0.582643    0.267722
   -0.913913    0.321490    0.247806
   -0.647433   -0.757459    0.084183
   -0.967490    0.124738    0.220009
   -0.909926    0.405052    0.089262
   -0.652468    0.300765   -0.695576
   -0.899384   -0.316733    0.301312
   -0.976779    0.103170    0.187775
   43.421053
   -0.420152    0.519844    0.743797
   -0.270746   -0.356025    0.894395
   -0.589186    0.019608    0.807760
   -0.648030   -0.473578   -0.596474
   -0.430145    0.901732    0.043065
   -0.816446   -0.420228    0.396011
   -0.821018   -0.243927    0.516168
   -0.931126    0.357971    0.069725
   -0.999297   -0.009666    0.036227
   -0.922025    0.054673   -0.383250
   -0.841556   -0.540096    0.008974
   -0.852696    0.401378    0.334372
   -0.393150   -0.023121    0.919184
   -0.633981    0.488471    0.599554
   -0.450642    0.615783    0.646323
   -0.549993    0.651554   -0.522480
    0.737644    0.674981   -0.016824
   -0.379430   -0.389070    0.839439
   -0.642347   -0.408602    0.648409
   -0.979516   -0.168168    0.110762
   -0.513524    0.816578    0.263616
   -0.113870    0.405525    0.906964
   -0.811062    0.099716    0.576399
   -0.690336   -0.546363    0.474262
   -0.963232   -0.141895    0.228143
   -0.826526   -0.562366   -0.024474
   -0.508490   -0.855279    0.099682
   -0.869064   -0.123889   -0.478935
   -0.833685   -0.112515    0.540656
   -0.751562    0.595465    0.283859
   -0.950955   -0.302849    0.062980
   -0.366698   -0.880227    0.301218
   -0.876299    0.403124    0.263802
   -0.993065    0.075603   -0.090034
