 Created on  8Aug2021 at 03:35:01 
    0.913138   -0.277285    0.298817
    0.938271    0.079330   -0.336682
    0.905778   -0.325036    0.271879
   -0.054597    0.002565    0.998505
   -0.685278    0.221072   -0.693917
   -0.959939   -0.042795    0.276921
   -0.105583   -0.758034    0.643612
   -0.822812    0.034485    0.567266
   -0.969722    0.206439    0.130471
   -0.907547   -0.043992    0.417640
   -0.181424   -0.051573    0.982052
   -0.693410   -0.718877   -0.048972
   -0.981075    0.188122    0.045845
   -0.511668   -0.685655    0.517757
   -0.589742    0.526687   -0.612214
   -0.365960   -0.863867    0.346131
   -0.315842    0.931597   -0.179919
   -0.017820   -0.979516   -0.200576
    0.947030    0.106255    0.303059
    0.974877   -0.164530    0.150151
    0.570885   -0.588808   -0.572185
    0.816837   -0.551768   -0.168313
    0.656011   -0.173896   -0.734445
   -0.102046   -0.793279   -0.600246
    0.947371   -0.064502   -0.313573
    0.958402   -0.053501   -0.280363
    0.793348    0.380694   -0.475048
    0.779720   -0.080597   -0.620919
    0.657844   -0.444161    0.608245
    0.396628    0.885155   -0.243284
    0.940413   -0.283680    0.187481
    0.200734    0.940942    0.272644
    0.056917    0.743936   -0.665823
   -0.998263   -0.054587    0.022159
   -0.973774    0.086081    0.210606
   -0.580995    0.802935   -0.133189
   -0.555323    0.609193    0.566127
   -0.080162    0.719329    0.690029
   -0.779217   -0.415263   -0.469444
   -0.940424    0.326182    0.095957
   -0.735568   -0.517971    0.436630
   -0.211527   -0.128215    0.968926
   -0.119754   -0.175426   -0.977182
   -0.696156    0.433356    0.572337
   -0.324765   -0.466263   -0.822877
   -0.796480   -0.563704    0.218766
    0.964913    0.038191   -0.259776
    0.843202   -0.073938    0.532489
    0.855872    0.437899   -0.275187
   -0.431888   -0.885802   -0.169786
    0.904381   -0.154440   -0.397797
    0.233663   -0.649491    0.723576
   -0.022343    0.538633   -0.842244
    0.883451    0.003143   -0.468513
    0.968818    0.228406    0.096033
    0.294947   -0.392600   -0.871132
    0.428614    0.903462   -0.006846
    0.962127   -0.037939    0.269947
    0.439343    0.656454    0.613225
    0.067860   -0.114733   -0.991076
   -0.542108    0.746578   -0.385668
   -0.654350   -0.737359    0.167715
   -0.749513   -0.500359    0.433441
    0.173726    0.970781   -0.165539
   -0.357576    0.409851    0.839143
   -0.528081    0.064409   -0.846748
   -0.076764   -0.135606    0.987785
   -0.930978    0.188314    0.312758
   -0.245395   -0.763527    0.597334
   -0.666298    0.544247    0.509746
   -0.485262   -0.781940    0.391268
   -0.762582    0.011915   -0.646782
   -0.891290    0.067748   -0.448344
    0.051435   -0.950010    0.307954
    0.826621    0.221745    0.517229
    0.869020   -0.494717    0.007713
    0.171616    0.946756    0.272399
   -0.136857   -0.484673   -0.863923
    0.442981   -0.765167   -0.467211
    0.650727   -0.221092   -0.726411
   -0.608668    0.306462   -0.731850
    0.914864   -0.356064   -0.190373
    0.365475    0.792383   -0.488423
    0.835390   -0.070872   -0.545070
    0.767361    0.037416   -0.640123
    0.812634   -0.229967    0.535482
    0.950938    0.014369   -0.309046
    0.753622    0.657307   -0.000694
   -0.956594   -0.238611    0.167310
   -0.488304   -0.670416   -0.558660
   -0.985035   -0.146118   -0.091404
    0.040000   -0.046771    0.998104
   -0.839725    0.363224    0.403646
   -0.787265   -0.012372    0.616491
   -0.942614   -0.220198    0.250980
   -0.708310    0.629102    0.320198
    0.001583   -0.991524   -0.129916
   -0.527419   -0.056120    0.847750
   -0.901086   -0.249710    0.354527
   -0.925309   -0.165337   -0.341272
   -0.982935   -0.055181    0.175482
   -0.679258   -0.569881   -0.462433
    0.925711   -0.201068    0.320361
