 #written on  7Aug2021 at 22:47:11 
 #---------------------------------------------------- MONTECARLO ----------------------------------------------------#
 #  Temp    Shell   Atom1   Type1   Atom2   Type2   <\sum_{ij} Si.Sj/N>   <\sum_{ij}|Si.Sj|/N>   <|\sum_{ij}Si.Sj|/N> #
 #--------------------------------------------------------------------------------------------------------------------#
  18.6667     3      Mn       1      Mn       1         0.832109952           0.832358051             0.832109952
  18.6667     4      Mn       1      Mn       1         0.595454401           0.633932664             0.595454401
  18.6667     5      Mn       1      Mn       1        -0.819343341           0.819791954             0.819343341
  18.6667     6      Mn       1      Mn       1        -0.589500692           0.629295501             0.589500692
  18.6667     7      Mn       1      Mn       1         0.585472016           0.626035612             0.585472016
  19.7143     1      Mn       1      Mn       1        -0.881143984           0.881172608             0.881143984
  19.7143     2      Mn       1      Mn       1         0.228859278           0.554579467             0.435005703
  19.7143     3      Mn       1      Mn       1         0.822560511           0.822948432             0.822560511
  19.7143     4      Mn       1      Mn       1        -0.237748774           0.557658996             0.439556765
  19.7143     5      Mn       1      Mn       1        -0.809163218           0.809839813             0.809163218
  19.7143     6      Mn       1      Mn       1         0.243422684           0.559470126             0.442465149
  19.7143     7      Mn       1      Mn       1        -0.247348460           0.560835771             0.444544497
  20.7619     1      Mn       1      Mn       1        -0.874498062           0.874546400             0.874498062
  20.7619     2      Mn       1      Mn       1        -0.567312584           0.621522080             0.567366559
  20.7619     3      Mn       1      Mn       1         0.812723771           0.813307324             0.812723771
  20.7619     4      Mn       1      Mn       1         0.557328516           0.613633675             0.557402090
  20.7619     5      Mn       1      Mn       1        -0.798560679           0.799554579             0.798560679
  20.7619     6      Mn       1      Mn       1        -0.550863421           0.608950801             0.550951498
  20.7619     7      Mn       1      Mn       1         0.546455400           0.605587191             0.546556020
  21.8095     1      Mn       1      Mn       1        -0.867899833           0.867978510             0.867899833
  21.8095     2      Mn       1      Mn       1        -0.354776554           0.612495489             0.554586212
  21.8095     3      Mn       1      Mn       1         0.803041175           0.803884438             0.803041175
  21.8095     4      Mn       1      Mn       1         0.344289125           0.607295218             0.548257322
  21.8095     5      Mn       1      Mn       1        -0.788187523           0.789585878             0.788187523
  21.8095     6      Mn       1      Mn       1        -0.337500590           0.604212160             0.544115066
  21.8095     7      Mn       1      Mn       1         0.332850457           0.602045218             0.541318336
  22.8571     1      Mn       1      Mn       1        -0.861220715           0.861342043             0.861220715
  22.8571     2      Mn       1      Mn       1        -0.255804482           0.588571875             0.508686001
  22.8571     3      Mn       1      Mn       1         0.793167649           0.794355770             0.793167649
  22.8571     4      Mn       1      Mn       1         0.244994079           0.584639940             0.503611568
  22.8571     5      Mn       1      Mn       1        -0.777588656           0.779515744             0.777588656
  22.8571     6      Mn       1      Mn       1        -0.238046399           0.582315241             0.500253209
  22.8571     7      Mn       1      Mn       1         0.233269205           0.580680245             0.498007245
  23.9048     1      Mn       1      Mn       1        -0.854630019           0.854811267             0.854630019
  23.9048     2      Mn       1      Mn       1         0.283548557           0.554401004             0.447572381
  23.9048     3      Mn       1      Mn       1         0.783584164           0.785190556             0.783584164
  23.9048     4      Mn       1      Mn       1        -0.294544612           0.559022455             0.454658118
  23.9048     5      Mn       1      Mn       1        -0.767371494           0.769920659             0.767371494
  23.9048     6      Mn       1      Mn       1         0.301480135           0.561662967             0.459103606
  23.9048     7      Mn       1      Mn       1        -0.306329876           0.563699829             0.462248856
  24.9524     1      Mn       1      Mn       1        -0.847799812           0.848063065             0.847799812
  24.9524     2      Mn       1      Mn       1        -0.212201079           0.556081312             0.431361674
  24.9524     3      Mn       1      Mn       1         0.773526178           0.775683513             0.773526178
  24.9524     4      Mn       1      Mn       1         0.200654549           0.552550135             0.427012954
  24.9524     5      Mn       1      Mn       1        -0.756584628           0.759947352             0.756584628
  24.9524     6      Mn       1      Mn       1        -0.193372049           0.550579088             0.424219042
  24.9524     7      Mn       1      Mn       1         0.188300089           0.549160235             0.422355395
  26.0000     1      Mn       1      Mn       1        -0.841012191           0.841383544             0.841012191
  26.0000     2      Mn       1      Mn       1        -0.394421574           0.575351249             0.470458986
  26.0000     3      Mn       1      Mn       1         0.763551475           0.766371360             0.763551475
  26.0000     4      Mn       1      Mn       1         0.382104679           0.568505725             0.461057495
  26.0000     5      Mn       1      Mn       1        -0.745874272           0.750190252             0.745874272
  26.0000     6      Mn       1      Mn       1        -0.374260459           0.564623256             0.454986603
  26.0000     7      Mn       1      Mn       1         0.368811953           0.561772454             0.450822216
  27.0476     1      Mn       1      Mn       1        -0.834194550           0.834707678             0.834194550
  27.0476     2      Mn       1      Mn       1        -0.235412959           0.544490902             0.388091255
  27.0476     3      Mn       1      Mn       1         0.753588715           0.757194669             0.753588715
  27.0476     4      Mn       1      Mn       1         0.222925770           0.540294444             0.382124233
  27.0476     5      Mn       1      Mn       1        -0.735233345           0.740651609             0.735233345
  27.0476     6      Mn       1      Mn       1        -0.215135678           0.538007026             0.378337441
