 Created on  1Dec2019 at 16:58:59 
    0.127622    0.156979   -0.979321
   -0.078505    0.101645   -0.991718
   -0.187119    0.096665    0.977570
   -0.255909   -0.108731    0.960567
    0.451398    0.069642   -0.889601
   -0.121211    0.424091   -0.897471
   -0.316182   -0.027550    0.948299
   -0.158682    0.188936    0.969084
    0.068676    0.393700   -0.916670
    0.373991    0.069088   -0.924855
    7.234043
   -0.158157   -0.228223   -0.960677
    0.395680   -0.016063   -0.918248
   -0.632508    0.493755   -0.596774
   -0.092852    0.147140   -0.984748
   -0.149241    0.089974   -0.984699
   -0.019457    0.067706   -0.997516
   -0.498201    0.434034   -0.750607
   -0.159040   -0.109685   -0.981160
    0.261096   -0.096475    0.960480
    0.290474   -0.430598    0.854524
    0.025196    0.248047    0.968420
    0.298652    0.056295    0.952700
    0.345034   -0.530726    0.774133
   -0.110957    0.058874    0.992080
   -0.102302   -0.145018    0.984126
   -0.134339    0.142152    0.980686
    0.069491    0.320640   -0.944648
    0.298129   -0.230489   -0.926280
   -0.591060    0.277071   -0.757549
   -0.131957   -0.059996   -0.989438
    0.127374    0.178921   -0.975583
    0.020270    0.094752   -0.995295
   -0.516844    0.483852   -0.706229
   -0.066680    0.054440   -0.996288
    0.040181   -0.665061    0.745708
    0.240039   -0.211446    0.947456
    0.269096   -0.363717    0.891794
    0.142928    0.064025    0.987660
    0.305943   -0.447389    0.840382
    0.042606   -0.072913    0.996428
    0.203556   -0.175579    0.963191
   -0.245298   -0.028383    0.969032
    0.165409    0.331841    0.928720
   -0.230474   -0.088468    0.969048
    0.061892   -0.082892    0.994635
    0.356024   -0.355194    0.864340
    0.070260    0.162212    0.984251
   -0.042826   -0.097217    0.994341
    0.424174   -0.188362    0.885774
    0.280500    0.240728    0.929177
   -0.309586    0.103009   -0.945276
   -0.361596    0.402037   -0.841198
    0.189550    0.202098   -0.960847
    0.101551   -0.149041   -0.983603
   -0.314622    0.631585   -0.708600
    0.083091    0.146457   -0.985721
   -0.023432   -0.228051   -0.973367
    0.312599   -0.040043   -0.949041
    0.157395    0.035054    0.986913
    0.342113    0.446163    0.826981
    0.504945   -0.303195    0.808148
    0.087103   -0.154992    0.984068
   -0.110479   -0.060993    0.992005
   -0.194815    0.278314    0.940526
    0.510904   -0.284852    0.811072
    0.309201   -0.110809    0.944519
   -0.332716    0.527150   -0.781929
   -0.319131    0.216051   -0.922755
    0.020419    0.253293   -0.967174
   -0.323207   -0.350367   -0.879079
   -0.339890    0.293600   -0.893462
   -0.254892    0.137260   -0.957178
   -0.247376    0.097650   -0.963986
    0.027763   -0.185298   -0.982290
    0.137515    0.257590   -0.956419
   -0.316187    0.087038   -0.944696
    0.015588    0.181073   -0.983346
    0.192971    0.410857   -0.891044
   -0.031981   -0.106119   -0.993839
   -0.259825   -0.043452   -0.964678
   -0.187515    0.352992   -0.916643
   -0.263550    0.185200   -0.946701
    0.214629   -0.531137    0.819651
    0.274845   -0.177048    0.945047
    0.028041   -0.080037    0.996397
    0.078074   -0.100161    0.991903
    0.221748   -0.321552    0.920561
    0.099387   -0.070982    0.992514
    0.362752   -0.006542    0.931863
   -0.234017   -0.058004    0.970501
   -0.234689    0.148320   -0.960688
    0.040849   -0.204161   -0.978085
   -0.468079    0.351200   -0.810901
   -0.407622    0.242601   -0.880334
    0.162536    0.095785   -0.982042
    0.181559    0.276390   -0.943740
   -0.419283   -0.015818   -0.907718
   -0.324804    0.337758   -0.883415
    0.132642    0.015049    0.991050
    0.344471   -0.359368    0.867291
    0.348006   -0.353340    0.868356
    0.028444   -0.082072    0.996220
    0.032020   -0.391610    0.919574
    0.363821   -0.372939    0.853552
    0.003260    0.005599    0.999979
    0.076640   -0.138749    0.987358
    0.000694   -0.047105    0.998890
   -0.067348    0.062535    0.995768
    0.425936   -0.171894    0.888274
    0.140867   -0.121609    0.982531
   -0.211172   -0.202400    0.956264
   -0.030833    0.176794    0.983765
    0.153844   -0.343059    0.926630
    0.052786   -0.204379    0.977467
   -0.735640    0.099340   -0.670049
   -0.372164    0.135135   -0.918277
    0.172877    0.222115   -0.959572
   -0.243339   -0.137607   -0.960130
   -0.427481    0.253785   -0.867671
   -0.080219    0.406593   -0.910081
    0.224263    0.071866   -0.971875
    0.362842    0.167070   -0.916752
   -0.500866   -0.030808    0.864976
   -0.041357    0.273361    0.961022
    0.484794   -0.359186    0.797471
    0.428961   -0.123352    0.894861
   -0.461399   -0.282008    0.841179
   -0.049412   -0.045732    0.997731
    0.462163   -0.245871    0.852028
    0.171252   -0.260033    0.950292
   -0.374905    0.316555   -0.871343
   -0.000083    0.119961   -0.992779
    0.001731   -0.163064   -0.986614
    0.222161   -0.034928   -0.974384
   -0.469787    0.252042   -0.846035
    0.082772    0.449308   -0.889534
    0.338176    0.330689   -0.881068
    0.054616   -0.199226   -0.978430
    8.851064
   -0.105775   -0.207767    0.972443
   -0.253776    0.405077    0.878357
    0.007423   -0.271712   -0.962350
   -0.286954    0.694200   -0.660109
   -0.293975    0.515272    0.805030
   -0.057471   -0.096442    0.993678
   -0.308517   -0.058966   -0.949389
   -0.293663    0.645329   -0.705204
    0.238807    0.219029    0.946043
   -0.224857   -0.813965    0.535631
    0.530200   -0.093314   -0.842722
    0.099777   -0.202304   -0.974227
    0.214285    0.263426    0.940579
    0.304901   -0.606589    0.734224
    0.382000    0.160337   -0.910147
   -0.294111   -0.199176   -0.934787
   -0.366486   -0.237365    0.899636
   -0.088057    0.030760    0.995640
   -0.388072   -0.356830   -0.849748
   -0.165131    0.621978   -0.765425
   -0.128514    0.244575    0.961076
    0.207550    0.121672    0.970628
   -0.247956   -0.130338   -0.959964
    0.009782    0.053621   -0.998513
   -0.084028    0.137943    0.986869
   -0.124326   -0.292869    0.948035
   -0.042218   -0.407727   -0.912128
    0.122097   -0.469869   -0.874251
    0.221458    0.210164    0.952254
    0.505542   -0.254063    0.824548
    0.487955   -0.062744   -0.870611
    0.047275   -0.315492   -0.947750
    0.250935   -0.096593   -0.963173
    0.379495   -0.352769   -0.855300
    0.739858    0.368631    0.562779
    0.263597   -0.157010    0.951769
    0.444110    0.048559   -0.894655
   -0.101689   -0.162635   -0.981432
    0.208031    0.394413    0.895076
    0.457132   -0.055303    0.887678
   -0.557283   -0.450083   -0.697754
   -0.410634   -0.192692   -0.891207
   -0.232475    0.199813    0.951856
    0.385496    0.255511    0.886627
   -0.550794   -0.317448   -0.771915
   -0.546092    0.314114   -0.776605
   -0.208707   -0.297067    0.931769
   -0.378659    0.081133    0.921973
    0.186701    0.268183   -0.945104
    0.007520   -0.092662   -0.995669
    0.610791    0.453094    0.649338
    0.263455   -0.255110    0.930328
    0.359813    0.012902   -0.932935
   -0.098131   -0.326458   -0.940104
    0.328939   -0.082335    0.940755
    0.553540   -0.153219    0.818607
   -0.345992   -0.055913   -0.936570
   -0.370480    0.287378   -0.883265
   -0.409431   -0.020670    0.912107
    0.147029   -0.098351    0.984230
   -0.626545   -0.073750   -0.775888
   -0.104155    0.523112   -0.845875
   -0.664741    0.088188    0.741850
   -0.172128    0.140883    0.974948
    0.012265    0.123183    0.992308
   -0.019906   -0.101063    0.994681
    0.046295   -0.422428   -0.905213
   -0.154329    0.032591   -0.987482
   -0.107280    0.162740    0.980819
    0.419701   -0.316553    0.850673
   -0.248071   -0.134795   -0.959318
   -0.298233    0.128552   -0.945797
    0.253940    0.371837    0.892890
    0.044549    0.003702    0.999000
    0.299998    0.011008   -0.953876
   -0.320834   -0.464963   -0.825151
    0.354808   -0.054332    0.933359
    0.426555   -0.070762    0.901689
    0.332428   -0.076241   -0.940042
   -0.266380    0.206875   -0.941406
   -0.080431    0.030602    0.996290
    0.440392    0.175495    0.880486
   -0.330375   -0.473305   -0.816600
    0.040534    0.400937   -0.915209
   -0.235940    0.134396    0.962429
    0.102234    0.178630    0.978591
   -0.366420   -0.196930   -0.909371
   -0.358028    0.036195   -0.933009
    0.263546    0.537186    0.801233
    0.491096   -0.221035    0.842596
    0.321765    0.001176   -0.946819
    0.032738   -0.379364   -0.924668
    0.305898   -0.083153    0.948426
    0.199927   -0.191599    0.960895
    0.529468   -0.324864   -0.783663
   -0.370160   -0.178241   -0.911708
    0.029895   -0.272425   -0.961713
    0.007057   -0.151304   -0.988462
   -0.038760    0.534451    0.844310
    0.319565   -0.371717    0.871610
    0.205276    0.226071   -0.952236
   -0.168663    0.270616   -0.947797
    0.156858   -0.070585    0.985096
    0.312214   -0.134808    0.940398
    0.015244   -0.150032   -0.988564
